"LOCATION"	"STRAND"	"LENGTH"	"PID"	"GENE"	"SYNNYM"	"CODE"	"COG"	"PRODUCT"	"CHRM"	"ORG"
"139503..141431"	"-"	642	144228166	"SSA1"	"YAL005C"	"-"	"-"	"Hsp70 family ATPase SSA1"	1	2
"142174..143160"	"+"	206	6319315	"EFB1"	"YAL003W"	"-"	"-"	"Efb1p"	1	2
"143707..147531"	"+"	1274	41629668	"VPS8"	"YAL002W"	"-"	"-"	"Vps8p"	1	2
"147594..151166"	"-"	1160	6319317	"TFC3"	"YAL001C"	"-"	"-"	"Tfc3p"	1	2
"152257..153876"	"+"	539	6319318	"NUP60"	"YAR002W"	"-"	"-"	"Nup60p"	1	2
"154065..154724"	"-"	219	6319319	"ERP1"	"YAR002C-A"	"-"	"-"	"Erp1p"	1	2
"155005..156285"	"+"	426	6319320	"SWD1"	"YAR003W"	"-"	"-"	"Swd1p"	1	2
"156754..158619"	"-"	621	6319321	"RFA1"	"YAR007C"	"-"	"-"	"Rfa1p"	1	2
"158966..159793"	"+"	275	6319322	"SEN34"	"YAR008W"	"-"	"-"	"Sen34p"	1	2
"160597..164187"	"-"	1196	6319323	"-"	"YAR009C"	"-"	"-"	"truncated gag-pol fusion protein"	1	2
"164544..165866"	"-"	440	6319324	"-"	"YAR010C"	"-"	"-"	"gag protein"	1	2
"166742..168871"	"-"	709	330443386	"BUD14"	"YAR014C"	"-"	"-"	"Bud14p"	1	2
"169375..170295"	"+"	306	6319326	"ADE1"	"YAR015W"	"-"	"-"	"phosphoribosylaminoimidazolesuccinocarboxamide synthase"	1	2
"170396..171703"	"-"	435	6319327	"KIN3"	"YAR018C"	"-"	"-"	"Kin3p"	1	2
"172211..175135"	"-"	974	330443388	"CDC15"	"YAR019C"	"-"	"-"	"Cdc15p"	1	2
"176856..177023"	"-"	55	6319329	"PAU7"	"YAR020C"	"-"	"-"	"Pau7p"	1	2
"179281..179820"	"-"	179	330443390	"-"	"YAR023C"	"-"	"-"	"hypothetical protein"	1	2
"183770..184477"	"+"	235	6319331	"UIP3"	"YAR027W"	"-"	"-"	"Uip3p"	1	2
"184892..185596"	"+"	234	6319332	"-"	"YAR028W"	"-"	"-"	"hypothetical protein"	1	2
"186321..186545"	"+"	74	6319333	"-"	"YAR029W"	"-"	"-"	"hypothetical protein"	1	2
"186836..187732"	"+"	298	6319334	"PRM9"	"YAR031W"	"-"	"-"	"Prm9p"	1	2
"188107..188811"	"+"	234	6319336	"MST28"	"YAR033W"	"-"	"-"	"Mst28p"	1	2
"190193..192256"	"+"	687	6319337	"YAT1"	"YAR035W"	"-"	"-"	"carnitine O-acetyltransferase YAT1"	1	2
"192337..192417"	"-"	26	33438758	"-"	"YAR035C-A"	"-"	"-"	"hypothetical protein"	1	2
"192619..196185"	"+"	1188	85666110	"SWH1"	"YAR042W"	"-"	"-"	"Swh1p"	1	2
"203403..208016"	"+"	1537	6319341	"FLO1"	"YAR050W"	"-"	"-"	"Flo1p"	1	2
"220198..220497"	"+"	99	6319346	"-"	"YAR064W"	"-"	"-"	"hypothetical protein"	1	2
"221049..221660"	"+"	203	6319347	"-"	"YAR066W"	"-"	"-"	"hypothetical protein"	1	2
"222406..222891"	"+"	161	6319348	"-"	"YAR068W"	"-"	"-"	"hypothetical protein"	1	2
"225460..226863"	"+"	467	6319351	"PHO11"	"YAR071W"	"-"	"-"	"Pho11p"	1	2
"1807..2169"	"-"	120	6319249	"PAU8"	"YAL068C"	"-"	"-"	"Pau8p"	1	2
"2480..2707"	"+"	75	33438754	"-"	"YAL067W-A"	"-"	"-"	"hypothetical protein"	1	2
"7235..9016"	"-"	593	6319250	"SEO1"	"YAL067C"	"-"	"-"	"Seo1p"	1	2
"11565..11951"	"-"	128	6319252	"-"	"YAL065C"	"-"	"-"	"hypothetical protein"	1	2
"12046..12426"	"+"	126	6319253	"-"	"YAL064W-B"	"-"	"-"	"hypothetical protein"	1	2
"13363..13743"	"-"	126	7839146	"TDA8"	"YAL064C-A"	"-"	"-"	"Tda8p"	1	2
"21566..21850"	"+"	94	330443360	"-"	"YAL064W"	"-"	"-"	"hypothetical protein"	1	2
"22395..22685"	"-"	96	33438755	"-"	"YAL063C-A"	"-"	"-"	"hypothetical protein"	1	2
"24000..27968"	"-"	1322	6319255	"FLO9"	"YAL063C"	"-"	"-"	"Flo9p"	1	2
"31567..32940"	"+"	457	6319256	"GDH3"	"YAL062W"	"-"	"-"	"glutamate dehydrogenase (NADP(+)) GDH3"	1	2
"33448..34701"	"+"	417	6319257	"BDH2"	"YAL061W"	"-"	"-"	"putative dehydrogenase BDH2"	1	2
"35155..36303"	"+"	382	330443362	"BDH1"	"YAL060W"	"-"	"-"	"(R,R)-butanediol dehydrogenase"	1	2
"36509..37147"	"+"	212	330443364	"ECM1"	"YAL059W"	"-"	"-"	"Ecm1p"	1	2
"37464..38972"	"+"	502	6319260	"CNE1"	"YAL058W"	"-"	"-"	"Cne1p"	1	2
"39259..41901"	"+"	880	330443366	"GPB2"	"YAL056W"	"-"	"-"	"Gpb2p"	1	2
"42177..42719"	"+"	180	6319263	"PEX22"	"YAL055W"	"-"	"-"	"Pex22p"	1	2
"42881..45022"	"-"	713	6319264	"ACS1"	"YAL054C"	"-"	"-"	"acetate--CoA ligase 1"	1	2
"45899..48250"	"+"	783	330443368	"FLC2"	"YAL053W"	"-"	"-"	"Flc2p"	1	2
"48564..51707"	"+"	1047	330443370	"OAF1"	"YAL051W"	"-"	"-"	"Oaf1p"	1	2
"51855..52595"	"-"	246	6319267	"AIM2"	"YAL049C"	"-"	"-"	"Aim2p"	1	2
"52801..54789"	"-"	662	6319268	"GEM1"	"YAL048C"	"-"	"-"	"Gem1p"	1	2
"54989..56857"	"-"	622	330443372	"SPC72"	"YAL047C"	"-"	"-"	"Spc72p"	1	2
"57029..57385"	"-"	118	6319270	"AIM1"	"YAL046C"	"-"	"-"	"Aim1p"	1	2
"57518..57850"	"+"	110	12621476	"-"	"YAL044W-A"	"-"	"-"	"hypothetical protein"	1	2
"57950..58462"	"-"	170	269970294	"GCV3"	"YAL044C"	"-"	"-"	"glycine decarboxylase subunit H"	1	2
"58695..61052"	"-"	785	6319273	"PTA1"	"YAL043C"	"-"	"-"	"Pta1p"	1	2
"61316..62563"	"+"	415	6319274	"ERV46"	"YAL042W"	"-"	"-"	"Erv46p"	1	2
"62840..65404"	"+"	854	6319276	"CDC24"	"YAL041W"	"-"	"-"	"Cdc24p"	1	2
"65778..67520"	"-"	580	6319277	"CLN3"	"YAL040C"	"-"	"-"	"Cln3p"	1	2
"68716..69525"	"-"	269	6319278	"CYC3"	"YAL039C"	"-"	"-"	"holocytochrome c synthase CYC3"	1	2
"71786..73288"	"+"	500	6319279	"CDC19"	"YAL038W"	"-"	"-"	"pyruvate kinase CDC19"	1	2
"73426..73518"	"-"	30	33438756	"-"	"YAL037C-A"	"-"	"-"	"hypothetical protein"	1	2
"74020..74823"	"+"	267	6319280	"-"	"YAL037W"	"-"	"-"	"hypothetical protein"	1	2
"75043..76152"	"-"	369	6319281	"RBG1"	"YAL036C"	"-"	"-"	"Rbg1p"	1	2
"76427..79435"	"+"	1002	6319282	"FUN12"	"YAL035W"	"-"	"-"	"Fun12p"	1	2
"79718..80587"	"+"	289	6319283	"MTW1"	"YAL034W-A"	"-"	"-"	"Mtw1p"	1	2
"80710..81951"	"-"	413	37362610	"FUN19"	"YAL034C"	"-"	"-"	"Fun19p"	1	2
"82706..83227"	"+"	173	6319286	"POP5"	"YAL033W"	"-"	"-"	"Pop5p"	1	2
"83335..84474"	"-"	379	6319287	"PRP45"	"YAL032C"	"-"	"-"	"Prp45p"	1	2
"84749..87031"	"-"	760	6319288	"GIP4"	"YAL031C"	"-"	"-"	"Gip4p"	1	2
"87286..87752"	"+"	117	6319289	"SNC1"	"YAL030W"	"-"	"-"	"Snc1p"	1	2
"87855..92270"	"-"	1471	6319290	"MYO4"	"YAL029C"	"-"	"-"	"myosin 4"	1	2
"92900..94486"	"+"	528	6319291	"FRT2"	"YAL028W"	"-"	"-"	"Frt2p"	1	2
"94687..95472"	"+"	261	6319292	"SAW1"	"YAL027W"	"-"	"-"	"Saw1p"	1	2
"95630..99697"	"-"	1355	330443374	"DRS2"	"YAL026C"	"-"	"-"	"aminophospholipid-translocating P4-type ATPase DRS2"	1	2
"100225..101145"	"-"	306	330443376	"MAK16"	"YAL025C"	"-"	"-"	"Mak16p"	1	2
"101565..105872"	"-"	1435	6319295	"LTE1"	"YAL024C"	"-"	"-"	"Lte1p"	1	2
"106272..108551"	"-"	759	27469358	"PMT2"	"YAL023C"	"-"	"-"	"Pmt2p"	1	2
"108877..110430"	"-"	517	6319297	"FUN26"	"YAL022C"	"-"	"-"	"Fun26p"	1	2
"110846..113359"	"-"	837	6319298	"CCR4"	"YAL021C"	"-"	"-"	"Ccr4p"	1	2
"113614..114615"	"-"	333	330443378	"ATS1"	"YAL020C"	"-"	"-"	"Ats1p"	1	2
"114919..118314"	"+"	1131	6319300	"FUN30"	"YAL019W"	"-"	"-"	"Fun30p"	1	2
"118564..119541"	"-"	325	6319301	"-"	"YAL018C"	"-"	"-"	"hypothetical protein"	1	2
"120225..124295"	"+"	1356	330443380	"PSK1"	"YAL017W"	"-"	"-"	"Psk1p"	1	2
"124879..126786"	"+"	635	6319303	"TPD3"	"YAL016W"	"-"	"-"	"Tpd3p"	1	2
"126903..128102"	"-"	399	6319304	"NTG1"	"YAL015C"	"-"	"-"	"bifunctional N-glycosylase/AP lyase NTG1"	1	2
"128252..129019"	"-"	255	27469359	"SYN8"	"YAL014C"	"-"	"-"	"Syn8p"	1	2
"129270..130487"	"+"	405	330443382	"DEP1"	"YAL013W"	"-"	"-"	"Dep1p"	1	2
"130799..131983"	"+"	394	6319307	"CYS3"	"YAL012W"	"-"	"-"	"cystathionine gamma-lyase CYS3"	1	2
"132199..134076"	"+"	625	37362611	"SWC3"	"YAL011W"	"-"	"-"	"Swc3p"	1	2
"134184..135665"	"-"	493	330443384	"MDM10"	"YAL010C"	"-"	"-"	"Mdm10p"	1	2
"135854..136633"	"+"	259	6319310	"SPO7"	"YAL009W"	"-"	"-"	"Spo7p"	1	2
"136914..137510"	"+"	198	6319311	"FUN14"	"YAL008W"	"-"	"-"	"Fun14p"	1	2
"137698..138345"	"-"	215	6319312	"ERP2"	"YAL007C"	"-"	"-"	"Erp2p"	1	2
"761257..762594"	"+"	445	6319756	"PAF1"	"YBR279W"	"-"	"-"	"Paf1p"	2	2
"762784..764697"	"-"	637	398365859	"SAF1"	"YBR280C"	"-"	"-"	"SCF ubiquitin ligase complex subunit SAF1"	2	2
"764970..767606"	"-"	878	398365863	"DUG2"	"YBR281C"	"-"	"-"	"glutamine amidotransferase subunit DUG2"	2	2
"768240..768680"	"+"	146	6319759	"MRPL27"	"YBR282W"	"-"	"-"	"mitochondrial 54S ribosomal protein YmL27"	2	2
"768943..770415"	"-"	490	6319760	"SSH1"	"YBR283C"	"-"	"-"	"Ssh1p"	2	2
"771239..773632"	"+"	797	398365879	"-"	"YBR284W"	"-"	"-"	"metallo-dependent hydrolase superfamily protein"	2	2
"773922..774356"	"+"	144	398365885	"-"	"YBR285W"	"-"	"-"	"hypothetical protein"	2	2
"774700..776313"	"+"	537	82795241	"APE3"	"YBR286W"	"-"	"-"	"Ape3p"	2	2
"776571..777854"	"+"	427	6319764	"-"	"YBR287W"	"-"	"-"	"hypothetical protein"	2	2
"778012..779463"	"-"	483	398365907	"APM3"	"YBR288C"	"-"	"-"	"Apm3p"	2	2
"779667..782384"	"+"	905	398365913	"SNF5"	"YBR289W"	"-"	"-"	"Snf5p"	2	2
"782591..783556"	"+"	321	6319767	"BSD2"	"YBR290W"	"-"	"-"	"Bsd2p"	2	2
"783673..784572"	"-"	299	6319768	"CTP1"	"YBR291C"	"-"	"-"	"Ctp1p"	2	2
"787006..788430"	"+"	474	398365923	"VBA2"	"YBR293W"	"-"	"-"	"Vba2p"	2	2
"789235..791814"	"+"	859	398365929	"SUL1"	"YBR294W"	"-"	"-"	"Sul1p"	2	2
"792849..796499"	"+"	1216	330443481	"PCA1"	"YBR295W"	"-"	"-"	"cation-transporting P-type ATPase PCA1"	2	2
"796798..798522"	"-"	574	6319773	"PHO89"	"YBR296C"	"-"	"-"	"Pho89p"	2	2
"800123..800242"	"-"	39	398365951	"-"	"YBR296C-A"	"-"	"-"	"hypothetical protein"	2	2
"800523..801929"	"+"	468	398365955	"MAL33"	"YBR297W"	"-"	"-"	"Mal33p"	2	2
"802631..804475"	"-"	614	6319775	"MAL31"	"YBR298C"	"-"	"-"	"Mal31p"	2	2
"805035..805256"	"-"	73	33438774	"-"	"YBR298C-A"	"-"	"-"	"hypothetical protein"	2	2
"805351..807105"	"+"	584	398365967	"MAL32"	"YBR299W"	"-"	"-"	"Mal32p"	2	2
"809057..809419"	"+"	120	398365971	"PAU24"	"YBR301W"	"-"	"-"	"Pau24p"	2	2
"810340..811479"	"-"	379	6319779	"COS2"	"YBR302C"	"-"	"-"	"Cos2p"	2	2
"651415..652998"	"+"	527	6319691	"SDS24"	"YBR214W"	"-"	"-"	"Sds24p"	2	2
"653356..655317"	"+"	625	398365543	"HPC2"	"YBR215W"	"-"	"-"	"Hpc2p"	2	2
"655576..657600"	"-"	674	398365553	"YBP1"	"YBR216C"	"-"	"-"	"Ybp1p"	2	2
"657832..658392"	"+"	186	6319694	"ATG12"	"YBR217W"	"-"	"-"	"Atg12p"	2	2
"658707..662249"	"-"	1180	6319695	"PYC2"	"YBR218C"	"-"	"-"	"pyruvate carboxylase 2"	2	2
"662499..663303"	"-"	127	398365571	"-"	"YBR219C"	"-"	"-"	"hypothetical protein"	2	2
"662995..664677"	"-"	560	398365577	"-"	"YBR220C"	"-"	"-"	"hypothetical protein"	2	2
"665153..666253"	"-"	366	6319698	"PDB1"	"YBR221C"	"-"	"-"	"pyruvate dehydrogenase (acetyl-transferring) subunit E1 beta"	2	2
"666538..666642"	"+"	34	33438772	"-"	"YBR221W-A"	"-"	"-"	"hypothetical protein"	2	2
"666720..668351"	"-"	543	398365585	"PCS60"	"YBR222C"	"-"	"-"	"Pcs60p"	2	2
"668663..670297"	"-"	544	398365591	"TDP1"	"YBR223C"	"-"	"-"	"tyrosyl-DNA phosphodiesterase 1"	2	2
"670627..673329"	"+"	900	6319702	"-"	"YBR225W"	"-"	"-"	"hypothetical protein"	2	2
"673572..675134"	"-"	520	6319704	"MCX1"	"YBR227C"	"-"	"-"	"Mcx1p"	2	2
"675313..676227"	"+"	304	398365607	"SLX1"	"YBR228W"	"-"	"-"	"Slx1p"	2	2
"676357..679221"	"-"	954	398365611	"ROT2"	"YBR229C"	"-"	"-"	"Rot2p"	2	2
"679549..680050"	"-"	134	6319707	"OM14"	"YBR230C"	"-"	"-"	"Om14p"	2	2
"680362..680562"	"+"	66	63148619	"-"	"YBR230W-A"	"-"	"-"	"hypothetical protein"	2	2
"682179..683090"	"-"	303	398365631	"SWC5"	"YBR231C"	"-"	"-"	"Swc5p"	2	2
