gene,cnt,MW,COG1,gname,LENGTH,PRODUCT,gcmp,isblocked,rxn1,nOR,nAND,gpr
b0241,248,38.9218251,M,phoE,351,outer membrane phosphoporin protein E,ep,FALSE,,,,
b0929,249,39.3331096,M,ompF,362,outer membrane porin 1a (Ia;b;F),ep,FALSE,,,,
b1377,248,41.2196677,M,ompN,377,"outer membrane pore protein N, non-specific",ep,FALSE,,,,
b2215,249,40.3679071,M,ompC,367,outer membrane porin protein C,ep,FALSE,,,,
b4034,6,43.3874324,G,malE,396,maltose transporter subunit,cp,FALSE,,,,
b4033,6,57.0131545,G,malF,514,maltose transporter subunit,cp,FALSE,,,,
b4032,6,32.2252738,G,malG,296,maltose transporter subunit,cp,FALSE,,,,
b4035,6,40.9902955,G,malK,371,"fused maltose transport subunit, ATP-binding component of ABC superfamily/regulatory protein",cp,FALSE,,,,
b4036,7,49.9120366,G,lamB,446,maltose outer membrane porin (maltoporin),ep,FALSE,,,,
b4213,8,70.8318825,F,cpdB,647,2':3'-cyclic-nucleotide 2'-phosphodiesterase,p,FALSE,,,,
b2835,21,41.6554547,,lplT,397,lysophospholipid transporter,cp,FALSE,,,,
b2836,23,80.6996884,IQ,aas,719,fused 2-acylglycerophospho-ethanolamine acyl transferase/acyl-acyl carrier protein synthetase,c,FALSE,,,,
b3553,10,35.3953817,CHR,ghrB,324,glyoxylate/hydroxypyruvate reductase B,c,FALSE,,,,
b0446,1,30.3708395,R,cof,272,thiamin pyrimidine pyrophosphate hydrolase; HMP-PP phosphatase,c,FALSE,R_2MAHMP,1,0,( b0446  or  b1134 )
b1134,2,17.4328513,F,nudJ,153,bifunctional thiamin pyrimidine pyrophosphate hydrolase/ thiamin pyrophosphate hydrolase,c,FALSE,,,,
b0954,13,18.9689926,I,fabA,172,beta-hydroxydecanoyl thioester dehydrase,c,FALSE,,,,
b0180,12,17.0328937,I,fabZ,151,(3R)-hydroxymyristol acyl carrier protein dehydratase,c,FALSE,,,,
b0347,2,62.1854752,HC,mhpA,554,3-(3-hydroxyphenyl)propionate hydroxylase,c,FALSE,,,,
b3580,2,55.1546696,G,lyxK,498,L-xylulose kinase,c,FALSE,,,,
b1093,12,25.5602211,IQR,fabG,244,3-oxoacyl-[acyl-carrier-protein] reductase,c,FALSE,,,,
