gene,cnt,MW,COG1,gname,LENGTH,PRODUCT,gcmp,isblocked,rxn1,nOR,nAND,gpr
b0241,270,38.9218251,M,phoE,351,outer membrane phosphoporin protein E,ep,FALSE,,,,
b0929,271,39.3331096,M,ompF,362,outer membrane porin 1a (Ia;b;F),ep,FALSE,,,,
b1377,270,41.2196677,M,ompN,377,"outer membrane pore protein N, non-specific",ep,FALSE,,,,
b2215,271,40.3679071,M,ompC,367,outer membrane porin protein C,ep,FALSE,,,,
b4034,6,43.3874324,G,malE,396,maltose transporter subunit,cp,FALSE,,,,
b4033,6,57.0131545,G,malF,514,maltose transporter subunit,cp,FALSE,,,,
b4032,6,32.2252738,G,malG,296,maltose transporter subunit,cp,FALSE,,,,
b4035,6,40.9902955,G,malK,371,"fused maltose transport subunit, ATP-binding component of ABC superfamily/regulatory protein",cp,FALSE,,,,
b4036,7,49.9120366,G,lamB,446,maltose outer membrane porin (maltoporin),ep,FALSE,,,,
b4213,8,70.8318825,F,cpdB,647,2':3'-cyclic-nucleotide 2'-phosphodiesterase,p,FALSE,,,,
b2835,21,41.6554547,,lplT,397,lysophospholipid transporter,cp,FALSE,,,,
b2836,23,80.6996884,IQ,aas,719,fused 2-acylglycerophospho-ethanolamine acyl transferase/acyl-acyl carrier protein synthetase,c,FALSE,,,,
b3553,10,35.3953817,CHR,ghrB,324,glyoxylate/hydroxypyruvate reductase B,c,FALSE,,,,
b0446,2,30.3708395,R,cof,272,thiamin pyrimidine pyrophosphate hydrolase; HMP-PP phosphatase,c,FALSE,,,,
b1134,2,17.4328513,F,nudJ,153,bifunctional thiamin pyrimidine pyrophosphate hydrolase/ thiamin pyrophosphate hydrolase,c,FALSE,,,,
b1009,1,28.8980151,R,rutD,266,"putative aminoacrylate hydrolase, reactive intermediate detoxification",c,FALSE,3AMACHYD,0,0,b1009
b0954,13,18.9689926,I,fabA,172,beta-hydroxydecanoyl thioester dehydrase,c,FALSE,,,,
b0180,14,17.0328937,I,fabZ,151,(3R)-hydroxymyristol acyl carrier protein dehydratase,c,FALSE,,,,
b0347,2,62.1854752,HC,mhpA,554,3-(3-hydroxyphenyl)propionate hydroxylase,c,FALSE,,,,
b3580,2,55.1546696,G,lyxK,498,L-xylulose kinase,c,FALSE,,,,
b1093,14,25.5602211,IQR,fabG,244,3-oxoacyl-[acyl-carrier-protein] reductase,c,FALSE,,,,
b2323,13,42.6132198,IQ,fabB,406,3-oxoacyl-[acyl-carrier-protein] synthase I,c,FALSE,,,,
b1095,9,43.045633,IQ,fabF,413,3-oxoacyl-[acyl-carrier-protein] synthase II,c,FALSE,,,,
b1397,2,42.2764291,I,paaJ,401,"3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase",c,FALSE,,,,
b1329,1,59.8999075,E,mppA,537,murein tripeptide (L-ala-gamma-D-glutamyl-meso-DAP) transporter subunit,cp,FALSE,3PEPTabcpp,0,4,(b1329 and b1244 and b1245 and b1246 and b1247)
b1244,2,33.4430732,EP,oppB,306,oligopeptide transporter subunit,cp,FALSE,,,,
b1245,2,33.0218084,EP,oppC,302,oligopeptide transporter subunit,cp,FALSE,,,,
b1246,2,37.1883683,EP,oppD,337,oligopeptide transporter subunit,cp,FALSE,,,,
b1247,2,37.1974243,E,oppF,334,oligopeptide transporter subunit,cp,FALSE,,,,
b1386,3,84.3782907,Q,tynA,757,"tyramine oxidase, copper-requiring",p,FALSE,,,,
b0004,2,47.113628,E,thrC,428,threonine synthase,c,FALSE,,,,
b1192,4,33.5673345,V,ldcA,304,murein tetrapeptide carboxypeptidase; LD-carboxypeptidase A,c,FALSE,,,,
b1243,1,60.8986375,E,oppA,543,oligopeptide transporter subunit,cp,FALSE,4PEPTabcpp,0,4,(b1243 and b1244 and b1245 and b1246 and b1247)
b4266,1,27.5626112,IQR,idnO,254,5-keto-D-gluconate-5-reductase,c,FALSE,5DGLCNR,0,0,b4266
b4265,3,46.0411144,GE,idnT,439,L-idonate and D-gluconate transporter,cp,FALSE,,,,
b0159,3,24.3538829,F,mtn,232,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,c,FALSE,,,,
b3197,1,35.1960233,M,kdsD,328,D-arabinose 5-phosphate isomerase,c,FALSE,A5PISO,1,0,(b3197 or b2708)
b2708,1,34.0313472,M,gutQ,321,D-arabinose 5-phosphate isomerase,c,FALSE,A5PISO,1,0,(b3197 or b2708)
b1094,26,8.6394841,IQ,acpP,78,acyl carrier protein (ACP),c,FALSE,,,,
